,occ_code,11-2021,11-3021,11-3031,13-1031,13-1032,13-1041,13-1111,13-2041,13-2052,13-2053,13-2061,13-2071,13-2072,15-2011,15-2031,15-2041,23-2093,33-9021,41-1012,41-3021,41-3031,43-1011,43-3011,43-3071,43-4011,43-4021,43-4041,43-4051,43-4131,43-4141,43-6011,43-9021,43-9041,43-9051,43-9071,43-9111
0,occ_title,Marketing managers,Computer and information systems managers,Financial managers,"Claims adjusters, examiners, and investigators","Insurance appraisers, auto damage","Compliance officers, except agriculture, construction, health and safety, and transportation",Management analysts,Credit analysts,Personal financial advisors,Insurance underwriters,Financial examiners,Loan counselors,Loan officers,Actuaries,Operations research analysts,Statisticians,"Title examiners, abstractors, and searchers",Private detectives and investigators,First-line supervisors/managers of non-retail sales workers,Insurance sales agents,"Securities, commodities, and financial services sales agents",First-line supervisors/managers of office and administrative support workers,Bill and account collectors,Tellers,Brokerage clerks,Correspondence clerks,"Credit authorizers, checkers, and clerks",Customer service representatives,Loan interviewers and clerks,New accounts clerks,Executive secretaries and administrative assistants,Data entry keyers,Insurance claims and policy processing clerks,"Mail clerks and mail machine operators, except postal service","Office machine operators, except computer",Statistical assistants
19,a_mean_2014,137400,136280,130230,63500,64750,68000,90860,75970,108090,70570,86460,47600,73670,110090,82940,84010,48190,52880,84010,63730,103260,54400,35540,26650,50120,36240,36730,33890,38120,34890,53590,30130,38740,29160,30200,42990
20,h_mean_2014,66.06,65.52,62.61,30.53,31.13,32.69,43.68,36.52,51.97,33.93,41.57,22.89,35.42,52.93,39.88,40.39,23.17,25.43,40.39,30.64,49.64,26.15,17.09,12.81,24.1,17.42,17.66,16.29,18.33,16.77,25.76,14.48,18.63,14.02,14.52,20.67
21,tot_emp_2014,184490,330360,518030,266280,13690,246970,587450,69390,196490,91720,36830,29600,300580,21490,86950,26970,52960,26880,248770,374700,316340,1404070,346960,514520,57240,7580,46320,2511130,212440,52260,713730,205950,252670,99190,66530,14110
22,a_mean_2015,140660,141000,134330,64300,65300,69180,91770,79720,118050,72650,88310,49310,75170,110560,84180,84440,49840,52840,84910,64790,102860,56170,36600,27260,51640,36340,37920,34560,39210,35820,55460,30810,39560,29930,30980,44220
23,h_mean_2015,67.63,67.79,64.58,30.91,31.39,33.26,44.12,38.33,56.76,34.93,42.46,23.7,36.14,53.15,40.47,40.6,23.96,25.41,40.82,31.15,49.45,27.01,17.6,13.1,24.83,17.47,18.23,16.62,18.85,17.22,26.66,14.81,19.02,14.39,14.9,21.26
24,tot_emp_2015,192890,341250,531120,271600,15270,257010,614110,70840,197580,89960,44200,30510,303870,19770,95860,29870,54620,30460,247850,386140,319280,1424450,318970,498460,57490,7320,41880,2595990,216380,48970,666490,199240,262910,95640,63290,13510
25,a_mean_2016,144140,145740,139720,64990,65930,70250,91910,81160,123100,75480,88940,49480,76260,114120,84340,85160,51490,53530,85830,67760,102260,57890,37620,28060,52380,37660,39320,35170,40300,36480,57910,31640,40780,30580,32390,48300
26,h_mean_2016,69.3,70.07,67.17,31.24,31.7,33.77,44.19,39.02,59.18,36.29,42.76,23.79,36.67,54.87,40.55,40.94,24.75,25.74,41.27,32.58,49.17,27.83,18.09,13.49,25.18,18.11,18.91,16.91,19.37,17.54,27.84,15.21,19.61,14.7,15.57,23.22
27,tot_emp_2016,205900,352510,543300,274420,15130,273910,637690,72930,201850,91650,49750,34110,305700,19940,109150,33440,54560,28490,252670,385700,353780,1443150,298960,496760,59820,6780,37680,2707040,224340,41630,631610,194810,274350,91530,58160,10900
28,a_mean_2017,145620,149730,143530,66340,64680,71540,93440,82900,124140,77660,91780,49460,77920,114850,86510,88980,51180,55080,83370,66990,97440,58540,37650,28880,52850,38100,39670,35650,40610,36560,59400,32530,41090,31200,33190,49090
29,h_mean_2017,70.01,71.99,69.01,31.89,31.1,34.39,44.92,39.86,59.68,37.34,44.12,23.78,37.46,55.21,41.59,42.78,24.61,26.48,40.08,32.21,46.85,28.14,18.1,13.89,25.41,18.32,19.07,17.14,19.52,17.58,28.56,15.64,19.76,15,15.96,23.6
30,tot_emp_2017,218970,365690,569380,282030,16150,287130,659200,74850,200920,89910,52580,35900,307240,19210,106050,36540,53040,30980,251830,386320,389610,1458380,271700,491150,58930,6370,34350,2767790,227430,41680,596080,180100,277130,85800,54950,10110
31,a_mean_2018,147240,152860,146830,67540,65510,72520,94390,82300,121770,76880,90310,49820,76270,116250,88350,92600,51380,56810,84600,67890,98770,59340,38220,30140,53940,38990,40670,36470,41310,37000,61550,33740,42150,32040,34530,50110
32,h_mean_2018,70.79,73.49,70.59,32.47,31.5,34.86,45.38,39.57,58.54,36.96,43.42,23.95,36.67,55.89,42.48,44.52,24.7,27.31,40.67,32.64,47.49,28.53,18.38,14.49,25.93,18.75,19.55,17.53,19.86,17.79,29.59,16.22,20.26,15.41,16.6,24.09
33,tot_emp_2018,240440,391430,608120,287730,15200,300900,684470,74820,200260,96040,58590,35740,304950,20760,104200,39920,52180,30990,247570,393830,415890,1477560,251330,468470,55100,5460,29980,2871400,222620,41500,570530,174930,274560,86150,48580,11010
34,a_mean_2019,149200,156390,147530,68940,66240,72850,95560,84930,119290,77640,92330,50230,76200,120970,90600,95680,52050,57000,86180,67780,93090,60130,39300,31660,55190,39570,41880,37320,41960,38490,62920,34820,43280,32620,35150,51640
35,h_mean_2019,71.73,75.19,70.93,33.15,31.85,35.03,45.94,40.83,57.35,37.33,44.39,24.15,36.64,58.16,43.56,46,25.02,27.4,41.43,32.59,44.75,28.91,18.9,15.22,26.53,19.03,20.13,17.94,20.17,18.5,30.25,16.74,20.81,15.68,16.9,24.83
36,tot_emp_2019,263680,433960,654790,287960,13750,317600,709750,73930,210190,100050,64550,32110,308370,22260,99680,39090,52890,35000,249090,410050,437880,1487870,235870,442120,47990,6250,26700,2919230,208530,43420,542690,159930,257000,83580,45960,9810
